experiment,mode,controller,reward_mean,mean_rmse,eta_rmse,T_rmse,mean_abs_du,eta_iae,T_iae
LMPC bounded-mixed TD3,nominal,td3,-6.5279633221174365,0.5223517383659895,0.22975397671700654,0.8149495000149724,1.267003816198045,249.84794985308872,982.288616068404
LMPC bounded-mixed TD3,nominal,direct_lmpc,-3.7651299383282035,0.35533843845196944,0.17998094225815667,0.5306959346457822,0.6461690007899348,100.94817579667537,398.5804873985839
LMPC bounded-mixed TD3,nominal,offset_free_mpc,-3.764795696760709,0.35535157428684044,0.1799700569831869,0.530733091590494,0.6461369618699764,100.9662050967975,398.7053433679814
LMPC bounded-mixed TD3,disturb,td3,-8.451608515152627,0.5162279460351725,0.26394450790270635,0.7685113841676386,3.057347678846323,261.0305002774559,778.7452087002862
LMPC bounded-mixed TD3,disturb,direct_lmpc,-3.7734100677529767,0.35684384762750976,0.18006786568191943,0.5336198295731001,0.6774915251227249,112.7467936628967,451.72365476964376
LMPC bounded-mixed TD3,disturb,offset_free_mpc,-3.7736769462028894,0.35686888277000617,0.18007299865751267,0.5336647668824996,0.6775386943931206,112.76377242192773,451.8008446627327
LMPC governed-ref old TD3,nominal,td3,-6.093239600852119,0.45139697065180695,0.22883463380039565,0.6739593075032183,1.6400626326637404,222.92870017589792,596.9802073766612
LMPC governed-ref old TD3,nominal,direct_lmpc,-3.765128579613028,0.35533840072287715,0.17998090694008176,0.5306958945056726,0.6461691247539624,100.94817022282298,398.58053038009973
LMPC governed-ref old TD3,nominal,offset_free_mpc,-3.764795696760709,0.35535157428684044,0.1799700569831869,0.530733091590494,0.6461369618699764,100.9662050967975,398.7053433679814
LMPC governed-ref old TD3,disturb,td3,-6.176795954840879,0.513404448417481,0.22370931117853113,0.8030995856564308,1.8331784452671642,240.84494021321584,948.5802964250076
LMPC governed-ref old TD3,disturb,direct_lmpc,-3.789466625721908,0.3564539752987755,0.18055850703295376,0.5323494435645972,0.6933206356368085,114.98339441220298,450.3777259716527
LMPC governed-ref old TD3,disturb,offset_free_mpc,-3.7736769462028894,0.35686888277000617,0.18007299865751267,0.5336647668824996,0.6775386943931206,112.76377242192773,451.8008446627327
OF-MPC pretrained TD3,nominal,td3,-3.8511283413601167,0.35624905149106817,0.18233690173261044,0.5301612012495259,0.6535482036538091,109.92767584228488,426.2359790872266
OF-MPC pretrained TD3,nominal,offset_free_mpc,-3.7648226597451275,0.35543215153350416,0.17996280109707058,0.5309015019699377,0.6460897659523879,100.99803995749792,399.1360938808047
OF-MPC pretrained TD3,disturb,td3,-3.7841278436623274,0.3594492770918236,0.18011019227155955,0.5387883619120877,0.6679236620496853,113.47605212537674,470.40025991846767
OF-MPC pretrained TD3,disturb,offset_free_mpc,-3.773174151477416,0.35693801978575973,0.1800516509069018,0.5338243886646177,0.6775973171439029,112.70026518436758,451.9529561445975
